Store,Price,Quantity
4399,49.0,8
1710,49.0,1
2105,49.0,0
5463,49.0,4
1836,49.0,11
1137,49.0,4
1474,49.0,25
1256,49.0,9
21,49.0,5
3609,49.0,2
137,49.0,5
4682,49.0,1
256,49.0,5
3400,49.0,1
1594,49.0,6
1965,49.0,3
5189,49.0,4
5466,49.0,5
842,49.0,2
1712,49.0,3
2828,49.0,3
1140,49.0,3
2517,49.0,12
3612,49.0,6
26,49.0,4
3237,49.0,6
615,49.0,4
1191,49.0,4
5931,49.0,1
4683,49.0,4
3412,49.0,4
1966,49.0,3
963,49.0,4
5193,49.0,3
5469,49.0,6
1370,49.0,11
1817,49.0,2
3801,49.0,7
844,49.0,3
2674,49.0,2
1476,49.0,6
2515,49.0,3
1259,49.0,16
5196,49.0,3
964,49.0,6
1970,49.0,2
25,49.0,3
3404,49.0,11
3235,49.0,19
4687,49.0,4
5402,49.0,8
4298,49.0,5
261,49.0,3
619,49.0,5
684,49.0,6
501,49.0,4
379,49.0,2
1373,49.0,3
3824,49.0,4
1595,49.0,4
2637,49.0,9
2300,49.0,5
140,49.0,5
965,49.0,5
1463,49.0,3
3418,49.0,5
616,49.0,3
502,49.0,2
1969,49.0,3
383,49.0,1
1840,49.0,5
3621,49.0,1
2679,49.0,4
4690,49.0,8
1371,49.0,5
848,49.0,4
1581,49.0,9
4405,49.0,3
141,49.0,3
2836,49.0,6
5471,49.0,7
258,49.0,3
500,49.0,14
3247,49.0,7
1968,49.0,8
1842,49.0,11
3620,49.0,4
1376,49.0,5
2680,49.0,7
5866,49.0,3
2325,49.0,6
846,49.0,4
1261,49.0,4
729,49.0,4
2520,49.0,2
1475,49.0,4
4407,49.0,3
265,49.0,3
1378,49.0,5
2842,49.0,5
1846,49.0,2
386,49.0,2
5968,49.0,6
3417,49.0,3
592,49.0,3
968,49.0,6
3626,49.0,8
2329,49.0,12
462,49.0,3
3250,49.0,4
5476,49.0,8
1263,49.0,5
731,49.0,2
145,49.0,7
3823,49.0,3
5199,49.0,4
2651,49.0,3
1377,49.0,1
849,49.0,5
504,49.0,3
3422,49.0,4
2330,49.0,1
2844,49.0,2
5472,49.0,3
622,49.0,4
911,49.0,3
1599,49.0,4
382,49.0,4
3627,49.0,3
144,49.0,5
3248,49.0,5
1479,49.0,5
1146,49.0,4
5203,49.0,5
1372,49.0,6
1264,49.0,1
4641,49.0,3
620,49.0,3
3568,49.0,4
2331,49.0,3
266,49.0,6
730,49.0,3
5411,49.0,7
1977,49.0,13
1847,49.0,6
3251,49.0,7
1549,49.0,6
2843,49.0,10
2526,49.0,3
3828,49.0,1
505,49.0,3
1148,49.0,3
5191,49.0,3
1266,49.0,3
852,49.0,4
1381,49.0,3
2299,49.0,6
1809,49.0,7
1601,49.0,5
1971,49.0,2
5479,49.0,5
3254,49.0,3
3826,49.0,2
2110,49.0,4
507,49.0,3
2687,49.0,5
850,49.0,7
4699,49.0,5
1268,49.0,4
2334,49.0,10
1379,49.0,6
147,49.0,3
4420,49.0,5
1096,49.0,3
5477,49.0,5
1417,49.0,4
2846,49.0,3
35,49.0,3
3429,49.0,5
392,49.0,2
2532,49.0,4
2111,49.0,3
508,49.0,9
3625,49.0,13
736,49.0,2
623,49.0,3
5165,49.0,5
3255,49.0,2
267,49.0,8
835,49.0,6
4695,49.0,4
2336,49.0,8
395,49.0,11
4423,49.0,12
734,49.0,2
5211,49.0,4
1981,49.0,9
972,49.0,3
1605,49.0,5
3831,49.0,4
1269,49.0,3
510,49.0,4
151,49.0,5
2533,49.0,3
853,49.0,4
1150,49.0,6
34,49.0,4
624,49.0,3
1714,49.0,3
2115,49.0,5
5215,49.0,5
3425,49.0,5
4417,49.0,5
3260,49.0,4
1272,49.0,3
397,49.0,22
271,49.0,4
2690,49.0,3
36,49.0,4
1488,49.0,8
1130,49.0,6
3608,49.0,10
5023,49.0,6
2338,49.0,4
627,49.0,3
1607,49.0,3
5481,49.0,5
1718,49.0,1
2112,49.0,3
4424,49.0,2
1820,49.0,4
3833,49.0,3
3430,49.0,4
2534,49.0,0
3261,49.0,8
396,49.0,8
5216,49.0,6
2691,49.0,7
269,49.0,8
2339,49.0,1
37,49.0,5
1490,49.0,11
5480,49.0,6
5022,49.0,3
1271,49.0,3
1606,49.0,3
1721,49.0,5
92,49.0,3
2537,49.0,3
3431,49.0,1
3837,49.0,7
398,49.0,1
4430,49.0,12
3262,49.0,4
513,49.0,10
2694,49.0,3
604,49.0,0
272,49.0,6
2116,49.0,7
29,49.0,10
1611,49.0,2
5025,49.0,1
5485,49.0,7
1719,49.0,9
1270,49.0,2
1151,49.0,2
3835,49.0,3
400,49.0,5
152,49.0,2
2695,49.0,8
511,49.0,6
2119,49.0,4
4427,49.0,4
5487,49.0,2
1612,49.0,5
3432,49.0,4
5028,49.0,4
517,49.0,1
1720,49.0,1
3838,49.0,5
5218,49.0,4
742,49.0,4
628,49.0,3
1978,49.0,13
2697,49.0,4
3267,49.0,5
1494,49.0,10
4438,49.0,3
2121,49.0,4
854,49.0,6
1613,49.0,5
5486,49.0,5
5027,49.0,3
3434,49.0,3
741,49.0,3
277,49.0,4
3842,49.0,3
2543,49.0,5
3633,49.0,4
512,49.0,0
2692,49.0,3
1856,49.0,4
3265,49.0,9
1495,49.0,4
1982,49.0,7
967,49.0,4
2340,49.0,10
4435,49.0,4
1344,49.0,12
1614,49.0,6
275,49.0,7
2544,49.0,8
1723,49.0,10
39,49.0,4
630,49.0,5
519,49.0,1
1156,49.0,4
1275,49.0,5
3435,49.0,4
3840,49.0,2
974,49.0,9
155,49.0,5
817,49.0,21
2122,49.0,5
1382,49.0,5
5230,49.0,2
225,49.0,3
1853,49.0,7
3268,49.0,4
1496,49.0,6
2311,49.0,6
4439,49.0,4
5488,49.0,14
399,49.0,4
1276,49.0,4
5031,49.0,1
3843,49.0,3
2700,49.0,5
743,49.0,2
520,49.0,2
3436,49.0,7
633,49.0,4
2847,49.0,7
1987,49.0,5
2124,49.0,2
3789,49.0,1
5491,49.0,3
3645,49.0,9
973,49.0,16
2547,49.0,3
1727,49.0,3
1160,49.0,4
1860,49.0,6
748,49.0,3
4444,49.0,1
3439,49.0,3
521,49.0,3
5033,49.0,2
1383,49.0,7
635,49.0,3
1619,49.0,5
1985,49.0,9
857,49.0,7
278,49.0,4
975,49.0,3
1726,49.0,7
1273,49.0,3
4450,49.0,3
5192,49.0,4
2703,49.0,5
745,49.0,2
3445,49.0,3
2549,49.0,4
5035,49.0,11
2125,49.0,5
3623,49.0,9
2348,49.0,2
1425,49.0,4
1825,49.0,10
522,49.0,4
638,49.0,8
2855,49.0,3
772,49.0,5
4446,49.0,7
1279,49.0,4
282,49.0,2
5036,49.0,20
980,49.0,4
1386,49.0,4
1162,49.0,2
1861,49.0,4
404,49.0,8
2550,49.0,6
3447,49.0,6
1986,49.0,7
2123,49.0,6
701,49.0,1
3273,49.0,2
3640,49.0,2
1500,49.0,2
5497,49.0,2
40,49.0,11
860,49.0,3
3851,49.0,9
1620,49.0,5
4428,49.0,1
5034,49.0,0
516,49.0,3
1346,49.0,4
3401,49.0,2
978,49.0,4
1161,49.0,6
405,49.0,3
5320,49.0,6
2127,49.0,10
2552,49.0,5
636,49.0,4
3274,49.0,15
2857,49.0,5
1211,49.0,3
1863,49.0,8
859,49.0,6
4456,49.0,2
284,49.0,3
1498,49.0,2
2352,49.0,4
1385,49.0,7
1622,49.0,4
5037,49.0,4
45,49.0,3
526,49.0,2
3454,49.0,3
407,49.0,1
5325,49.0,1
3795,49.0,5
2529,49.0,5
3277,49.0,3
2859,49.0,4
639,49.0,2
1502,49.0,5
1389,49.0,6
2355,49.0,3
5038,49.0,3
979,49.0,4
3460,49.0,5
2706,49.0,8
529,49.0,11
1733,49.0,3
5499,49.0,3
3656,49.0,1
1284,49.0,2
1868,49.0,6
641,49.0,6
2554,49.0,3
1390,49.0,8
3278,49.0,2
1503,49.0,3
49,49.0,1
528,49.0,7
3660,49.0,3
3857,49.0,7
4460,49.0,3
2708,49.0,5
3459,49.0,1
2357,49.0,20
5612,49.0,6
