"(35.293281, -93.72139)"
"(39.230259, -94.47794)"
"(36.410344, -90.56479)"
"(37.725834, -88.54208)"
"(35.204983, -87.01246)"
"(31.315837, -95.47393)"
"(38.574804, -94.86706)"
"(33.038079, -89.56318)"
"(37.457806, -89.21408)"
"(38.808884, -90.85922)"
"(31.915828, -92.6445)"
"(33.25868, -95.91061)"
"(36.381305, -96.03998)"
"(31.669823, -96.48721)"
"(32.573816, -97.38491)"
"(38.242861, -93.36354)"
"(32.535841, -97.30681)"
"(35.447961, -95.95038)"
"(38.72456, -88.08658)"
"(39.114762, -90.32442)"
"(38.011729, -89.24688)"
"(32.674657, -95.46982)"
"(38.75592, -89.97442)"
"(37.67416, -87.90199)"
"(34.47056, -93.08805)"
"(32.397024, -96.83283)"
"(34.272374, -88.6822)"
"(32.747747, -96.28923)"
"(36.065779, -87.40831)"
"(32.93195, -97.08498)"
"(35.180947, -88.18946)"
"(38.000245, -88.92407)"
"(37.155108, -94.47465)"
"(33.54007, -97.88575)"
"(34.803864, -88.10205)"
"(34.613973, -98.46255)"
"(35.921811, -86.7952)"
"(34.265985, -88.38409)"
"(33.481491, -89.73155)"
"(35.272967, -95.16328)"
"(35.34377, -97.48596)"
"(30.712538, -94.89915)"
"(34.49284, -96.98606)"
"(35.489516, -92.02327)"
"(32.457903, -93.7133)"
"(30.026093, -93.84071)"
"(36.718074, -86.58202)"
"(33.828412, -87.27632)"
"(32.57701, -97.13485)"
"(30.680641, -95.50776)"
"(34.038226, -94.33597)"
"(30.768601, -94.40671)"
"(30.646291, -97.01149)"
"(33.628723, -91.38236)"
"(29.872165, -97.68093)"
"(30.374501, -96.07999)"
"(37.299591, -87.12992)"
"(38.494203, -90.61304)"
"(29.510439, -97.45352)"
"(34.203621, -86.1728)"
""
"(36.930527, -86.44751)"
"(33.824496, -85.77037)"
"(30.35469, -95.04514)"
"(33.996698, -85.92496)"
"(34.762615, -89.46092)"
"(35.199221, -93.17973)"
"(37.771806, -89.33971)"
"(36.513979, -86.86892)"
"(30.213767, -92.37921)"
"(29.943573, -92.14872)"
"(32.93382, -96.45446)"
"(35.500068, -86.08414)"
"(30.710639, -92.30628)"
"(29.759314, -91.52561)"
"(34.043263, -86.08904)"
"(38.961799, -89.10978)"
"(34.111837, -93.05585)"
"(31.310649, -96.87859)"
"(30.655348, -96.34056)"
"(35.136177, -86.57433)"
"(30.183651, -96.40258)"
"(32.031067, -93.68585)"
"(39.058604, -93.73366)"
"(35.843486, -96.38183)"
"(39.311978, -93.96947)"
"(38.325969, -90.14606)"
"(32.526944, -92.1599)"
"(33.719701, -85.83166)"
"(30.245205, -93.3636)"
"(28.873664, -97.00715)"
"(36.444215, -94.78345)"
"(37.377266, -86.88364)"
"(34.748066, -86.68317)"
"(35.693101, -88.80653)"
"(34.31985, -92.39319)"
"(33.834201, -92.43421)"
"(37.507321, -94.2761)"
""
"(35.443872, -95.54393)"
"(32.331239, -96.61962)"
"(39.852696, -96.63963)"
"(39.857155, -95.54497)"
"(31.779481, -95.63325)"
"(38.803528, -94.45103)"
"(39.548928, -89.29692)"
"(33.62086, -91.76272)"
"(37.68066, -96.98153)"
"(29.197701, -96.2774)"
"(33.45139, -90.65824)"
"(37.921816, -89.82842)"
"(40.865237, -97.58884)"
""
"(38.428609, -92.84968)"
"(38.33895, -91.49522)"
"(33.081863, -98.60091)"
"(35.48891, -94.20897)"
"(36.107078, -94.11592)"
"(38.679282, -89.99407)"
"(34.323715, -86.49278)"
"(33.925454, -87.78949)"
"(35.973286, -96.75751)"
"(38.473921, -90.52696)"
"(37.54834, -90.30599)"
"(32.589553, -85.53991)"
"(32.280746, -90.10708)"
"(35.506259, -84.35738)"
"(37.256575, -96.97885)"
"(37.339913, -95.25834)"
"(39.10518, -93.18783)"
"(31.769105, -94.18997)"
"(32.660497, -85.39917)"
"(37.755267, -100.02632)"
"(34.72879, -86.57316)"
"(40.670874, -73.89424)"
"(32.552315, -93.70836)"
"(39.466971, -95.7132)"
"(36.1161, -93.68605)"
"(37.021086, -93.21541)"
"(34.907335, -94.13624)"
"(30.390569, -94.18056)"
"(30.240473, -94.20172)"
"(30.242533, -92.66375)"
"(38.614986, -95.27355)"
"(35.702159, -96.88961)"
"(36.085376, -87.81626)"
"(35.406185, -94.39103)"
"(35.527593, -98.71259)"
"(26.234417, -98.34205)"
"(39.876251, -79.69296)"
"(26.172018, -98.25042)"
"(34.523657, -82.62509)"
"(32.557684, -94.74353)"
"(30.33146, -95.50703)"
"(32.523779, -94.80692)"
"(44.277365, -75.84263)"
"(33.944897, -86.45813)"
"(29.876944, -97.94668)"
"(31.138723, -93.22745)"
"(31.027003, -97.76717)"
"(35.60758, -88.81959)"
"(29.879796, -93.95575)"
""
"(30.301254, -91.86169)"
"(36.617443, -88.28746)"
"(33.904246, -88.9671)"
"(26.080434, -97.25024)"
"(32.184027, -95.84625)"
"(35.791021, -86.34445)"
"(33.85379, -98.4801)"
"(40.151358, -97.20374)"
"(32.424695, -97.78894)"
"(37.268972, -97.41247)"
"(33.143752, -95.60102)"
"(33.942496, -98.51923)"
"(33.263039, -97.55657)"
"(39.004728, -87.7495)"
"(34.23615, -88.75665)"
"(33.232422, -86.80871)"
"(32.834501, -86.64355)"
""
"(33.082411, -96.08977)"
"(30.655578, -91.14015)"
"(26.344128, -98.18011)"
"(37.044233, -88.59046)"
"(33.415449, -86.10908)"
""
"(34.77624, -86.61339)"
""
"(42.080232, -74.24801)"
"(38.623384, -89.36368)"
"(33.081421, -96.88957)"
"(32.761058, -98.92225)"
"(29.776375, -96.16474)"
"(28.047744, -97.04818)"
"(27.496472, -97.86808)"
"(35.968513, -86.52231)"
"(29.379516, -99.12665)"
"(37.168435, -93.31297)"
"(30.956147, -95.91606)"
"(37.479797, -86.30731)"
"(29.404267, -100.88116)"
"(32.397255, -93.8043)"
"(29.921564, -93.92694)"
"(26.26273, -98.23082)"
"(36.733761, -88.63449)"
"(32.42067, -93.8877)"
"(38.374627, -88.35735)"
"(38.926838, -92.29003)"
"(30.134801, -91.95251)"
"(27.915764, -97.15436)"
""
"(25.928274, -97.51618)"
"(39.3928, -89.08194)"
"(28.426202, -97.74806)"
"(28.716242, -100.48058)"
"(27.846568, -97.59435)"
"(29.150937, -98.17929)"
"(35.25543, -88.98751)"
"(29.09649, -97.28798)"
"(33.428618, -93.99236)"
"(36.569283, -89.97423)"
"(27.752356, -97.43465)"
"(32.590063, -96.75892)"
"(35.683768, -97.44686)"
"(36.045907, -95.80694)"
"(28.966755, -96.65939)"
"(30.182175, -96.93171)"
"(31.43211, -97.72602)"
"(30.514401, -97.65549)"
"(34.638773, -99.31787)"
"(28.888468, -99.09005)"
"(35.269694, -85.16227)"
"(39.606349, -90.78642)"
"(29.152396, -95.66319)"
"(39.474889, -88.37421)"
"(32.459435, -86.42746)"
""
"(40.145501, -88.96776)"
"(30.517866, -90.47254)"
"(30.573563, -84.6147)"
"(37.066543, -88.65687)"
"(27.633433, -97.26792)"
"(38.212471, -84.23646)"
"(33.400875, -84.71206)"
"(38.668827, -87.50791)"
"(33.581599, -88.43297)"
"(38.211511, -85.21658)"
"(36.402666, -97.92836)"
"(31.654792, -92.12872)"
"(30.142953, -94.00797)"
"(31.701492, -89.1393)"
""
"(31.901737, -106.41827)"
"(29.41148, -95.24475)"
"(29.712052, -96.56134)"
"(29.279937, -94.82683)"
"(38.667752, -88.48855)"
"(39.818249, -82.98115)"
"(30.835881, -93.27071)"
"(38.012479, -84.94075)"
"(30.042529, -99.15152)"
"(34.274355, -83.87003)"
"(33.486049, -81.70946)"
"(35.091332, -84.09018)"
"(32.21649, -101.4532)"
"(33.916418, -80.35738)"
"(35.388059, -97.73626)"
""
"(37.773923, -84.85812)"
"(33.992538, -83.71061)"
"(30.226399, -93.20496)"
"(42.934757, -78.8118)"
"(32.145212, -94.31256)"
"(32.290819, -96.114108)"
"(28.758133, -81.33992)"
"(38.305636, -85.58424)"
"(29.366684, -94.97392)"
"(27.448369, -82.52324)"
"(43.312104, -73.64825)"
"(33.218456, -92.64911)"
"(30.211901, -92.05912)"
"(29.975453, -91.84073)"
"(30.229237, -90.92251)"
"(30.2334, -92.00959)"
"(32.360362, -99.79886)"
"(29.16866, -95.44541)"
"(31.890374, -102.35398)"
"(29.735832, -82.39008)"
"(29.694806, -91.18252)"
"(34.228478, -84.50402)"
"(33.16156, -97.10376)"
"(30.470793, -90.10491)"
"(31.294532, -92.46015)"
"(28.779344, -97.85626)"
"(35.440311, -97.44201)"
"(30.530965, -92.09521)"
"(29.593377, -90.7475)"
"(37.164346, -83.76674)"
"(38.738226, -87.65984)"
"(28.013755, -82.11685)"
"(29.666218, -81.67401)"
"(37.130559, -82.83185)"
"(27.542244, -99.49233)"
"(31.205194, -82.37534)"
"(32.526359, -82.93375)"
"(38.410549, -96.19736)"
""
"(38.932303, -95.22513)"
"(41.413372, -91.00612)"
"(33.530698, -86.55506)"
"(39.787394, -94.80941)"
"(32.398681, -98.7959)"
"(28.945857, -81.30512)"
"(35.481507, -97.6423)"
"(30.517099, -96.67247)"
"(32.078228, -96.44612)"
"(33.960353, -84.037859)"
"(38.221179, -84.55465)"
"(32.387151, -94.87439)"
"(38.92811, -94.32392)"
"(33.627763, -78.98126)"
"(42.785887, -73.66221)"
"(36.148444, -95.90841)"
""
"(35.818653, -83.59197)"
"(36.264959, -85.94893)"
"(29.811123, -81.30987)"
"(27.894991, -81.82638)"
"(42.042506, -92.90646)"
"(29.116361, -80.98175)"
""
"(34.914611, -81.0125)"
"(38.691006, -84.6418)"
"(32.500532, -99.69803)"
"(35.943026, -85.45113)"
"(33.850218, -79.01692)"
"(40.926595, -72.65327)"
"(31.568073, -84.22644)"
"(29.584172, -95.747)"
"(38.397678, -84.2939)"
"(32.670345, -97.4143)"
"(31.522042, -82.84153)"
"(32.70778, -103.16616)"
"(40.709895, -99.05499)"
"(26.195591, -97.75321)"
"(33.47875, -84.47668)"
"(35.533093, -100.96041)"
"(31.344515, -100.47217)"
"(40.567088, -89.63382)"
"(30.143485, -95.46821)"
"(38.827875, -97.61553)"
"(31.988676, -81.09116)"
"(32.022019, -80.99193)"
"(35.018385, -99.09374)"
"(32.021056, -102.16008)"
"(39.695798, -91.40084)"
"(38.05732, -87.26579)"
"(39.496547, -88.17348)"
"(33.485178, -104.55089)"
"(37.804014, -89.02702)"
"(29.284924, -81.10296)"
"(32.242816, -98.21058)"
"(39.090479, -87.40667)"
"(34.200264, -84.77533)"
"(35.495894, -85.01032)"
"(33.548282, -80.88513)"
"(33.867574, -84.77103)"
"(37.557434, -97.25167)"
